scenario,base_dimension,terminal_state,theta_deg_4,theta_deg_5,theta_deg_6,total_gross_crossing,total_pass_through,total_internal_coupling,total_cross_to_d3,total_withdrawal_outflow,pass_through_fraction,internal_coupling_fraction,total_direct_particle_import,cumulative_indirect_particle_response,final_mean_scale_factor,final_volume_factor,total_mean_e_fold,total_volume_e_fold,peak_mean_H,minimum_mean_H,final_mean_H,peak_directional_H_shear,final_directional_H_shear,peak_axial_tension_deviation,final_axial_tension_deviation,first_expansion_time_tau,first_convergence_time_tau,first_channel_isolation_time_tau,first_particle_isolation_time_tau,final_particle_isolated_fraction,final_cross_energy_isolated_fraction,final_exchange_energy,max_energy_ledger_error
near_normal_pass_through,3,expansion_isolated_d3,5.0,5.0,5.0,37.49223796393346,37.20744229429716,0.2847956696365744,0.2604338700423809,0.0974285391626259,0.9924038765061112,0.0075961234938959,0.0,0.6123485209233106,1.54592877667676,3.694608663513761,0.4356248796840536,1.306874639052161,0.0475855197911509,6.7503353307972644e-12,0.0143606939368288,2.140676223104432e-05,1.1400571400860503e-05,1.9175494392419577e-06,1.7248598308167874e-07,4.074,,,,0.0002303434941733,0.9324744504086986,0.0847372838378911,6.021849685566849e-13
intermediate_angle_isotropic,3,expansion_isolated_d3,54.735610317,54.735610317,54.735610317,6.418841309857194,2.1396137699782884,4.279227539878833,2.933891977312515,0.0564414534326382,0.3333333333373668,0.6666666666626219,0.0,4.468296549714517,17.541549336654732,5397.639158017389,2.8645723146653057,8.593716943995917,0.3271350311706529,3.4335666668739367e-10,0.087109394396768,0.0128959147127995,8.908479234664271e-05,0.0065236184900003,4.467509282208636e-06,1.208,,2.878,4.594,0.9990555926714324,0.9999734244239832,3.386378531428959,2.255973186038318e-13
mixed_angle_anisotropic,3,expansion_isolated_d3,54.735610317,20.0,75.0,10.389230701576905,6.83831987564484,3.5509108259321858,2.5156480101059424,0.1073965355319875,0.6582123423832432,0.3417876576167684,0.0,4.514262782800021,12.075874717177186,1760.9855656466625,2.491209637260898,7.473628911782694,0.2802710242419227,2.1894485125509318e-10,0.0868121301709509,0.0900365854920912,0.0026686830395355,0.0455690100564573,0.0003921158783559,1.37,,3.0460000000000003,8.532,0.9951982136461582,0.9997884149818091,2.737415384226064,3.481659405224491e-13
near_tangent_weak_crossing,3,expansion_isolated_d3,85.0,85.0,85.0,2.2624795524674037,0.0171860740829568,2.2452934783843945,1.7706882071045922,0.0191034766850069,0.0075961234938959,0.9924038765060812,0.0,2.985181355344269,7.008820262272209,344.29821297776266,1.947169393341784,5.841508180025352,0.2262679719739846,7.715987345834846e-11,0.0588202854241824,0.0089901256419609,4.540221070221548e-06,0.0033307383067735,4.7430604141411375e-05,1.836,,4.816,,0.8097719975670051,0.9962275719231016,1.7506248686354549,3.8191672047105385e-13
intermediate_angle_withdrawal,3,converging_d3,54.735610317,54.735610317,54.735610317,7.720519645034069,2.573506548375889,5.1470130966582825,3.7729805339758915,1.4168300080334828,0.33333333333737447,0.6666666666626389,0.0,6.248347982210555,0.1590170872868467,0.004020975090373553,-1.8387436153232206,-5.516230845969662,0.27331253613004364,-0.40372433985019657,-0.32038736591469424,0.07571908962638338,0.04612146005771371,0.006750179902654333,0.0033224834468075382,1.282,5.936,3.14,,0.15064286907709204,0.9818934335097642,2.6801866542801935,2.184918912462308e-13
