name,dt,t_end,initial_prestructure_energy,cross_channel_capacity,initial_particle_energy,inflow_onset,inflow_offset,inflow_width,k_inflow,channel_weight_4,channel_weight_5,channel_weight_6,theta_deg_4,theta_deg_5,theta_deg_6,crossing_power,domain_coupling_power,k_cross_to_d3,cross_energy_return_rate,cross_energy_return_fraction,outflow_onset,outflow_offset,outflow_width,k_outflow_cross,k_outflow_relax,relaxation_decay_connected,relaxation_decay_isolated,relaxation_return_fraction,convergence_memory_gain,convergence_memory_decay,baseline_axial_tension,k_tension_relax_inflow,k_tension_converge_outflow,tension_equalization,tension_restore,lambda_relaxation,lambda_convergence,lambda_tension_relaxation,lambda_tension_convergence,hubble_relaxation,directional_hubble_equalization,expansion_volume_floor,c_info_particle,c_info_channel,comoving_particle_scale,comoving_channel_scale_4,comoving_channel_scale_5,comoving_channel_scale_6,isolation_exponent,k_isolation_particle,k_isolation_channel,k_reconnection_particle,k_reconnection_channel,particle_domain_overlap_4,particle_domain_overlap_5,particle_domain_overlap_6,active_channel_energy_threshold,anisotropy_event_threshold,shear_event_threshold,expansion_event_threshold,contraction_event_threshold,extinction_energy_threshold
near_normal_pass_through,0.002,18.0,12.0,5.0,1.0,0.8,6.0,0.35,0.62,0.3333333333,0.3333333333,0.3333333334,5.0,5.0,5.0,1.0,2.0,0.78,0.014,0.92,4.2,13.0,0.5,0.11,0.06,0.05,0.016,0.2,0.84,0.32,1.0,0.25,0.33,0.52,0.075,0.96,0.9,0.44,0.48,0.43,0.28,0.85,1.0,0.86,1.55,2.1,2.45,2.8,4.0,1.1,1.35,0.03,0.018,0.0,0.0,0.0,0.02,0.04,0.02,0.02,-0.02,0.05
intermediate_angle_isotropic,0.002,18.0,12.0,5.0,1.0,0.8,6.0,0.35,0.62,0.3333333333,0.3333333333,0.3333333334,54.735610317,54.735610317,54.735610317,1.0,2.0,0.78,0.014,0.92,4.2,13.0,0.5,0.11,0.06,0.05,0.016,0.2,0.84,0.32,1.0,0.25,0.33,0.52,0.075,0.96,0.9,0.44,0.48,0.43,0.28,0.85,1.0,0.86,1.55,2.1,2.45,2.8,4.0,1.1,1.35,0.03,0.018,0.0,0.0,0.0,0.02,0.04,0.02,0.02,-0.02,0.05
mixed_angle_anisotropic,0.002,18.0,12.0,5.0,1.0,0.8,6.0,0.35,0.62,0.3333333333,0.3333333333,0.3333333334,54.735610317,20.0,75.0,1.0,2.0,0.78,0.014,0.92,4.2,13.0,0.5,0.11,0.06,0.05,0.016,0.2,0.84,0.32,1.0,0.25,0.33,0.24,0.06,0.96,0.9,0.44,0.48,0.43,0.14,0.85,1.0,0.86,1.55,2.1,2.45,2.8,4.0,1.1,1.35,0.03,0.018,0.0,0.0,0.0,0.02,0.04,0.02,0.02,-0.02,0.05
near_tangent_weak_crossing,0.002,18.0,12.0,5.0,1.0,0.8,6.0,0.35,0.62,0.3333333333,0.3333333333,0.3333333334,85.0,85.0,85.0,1.0,2.0,0.78,0.014,0.92,4.2,13.0,0.5,0.11,0.06,0.05,0.016,0.2,0.84,0.32,1.0,0.25,0.33,0.52,0.075,0.96,0.9,0.44,0.48,0.43,0.28,0.85,1.0,0.86,1.55,2.1,2.45,2.8,4.0,1.1,1.35,0.03,0.018,0.0,0.0,0.0,0.02,0.04,0.02,0.02,-0.02,0.05
intermediate_angle_withdrawal,0.002,14.0,12.0,5.0,1.0,0.8,5.2,0.35,0.58,0.3333333333,0.3333333333,0.3333333334,54.735610317,54.735610317,54.735610317,1.0,2.0,0.76,0.014,0.92,3.8,17.0,0.48,0.41,0.232,0.06,0.02,0.25,1.4,0.24,1.0,0.24,0.52,0.52,0.075,0.86,1.4,0.42,0.66,0.38,0.3,0.85,1.0,0.86,1.55,2.1,2.45,2.8,4.0,1.1,1.35,0.03,0.018,0.0,0.0,0.0,0.02,0.04,0.02,0.02,-0.02,0.05
