name,dt,t_end,initial_prestructure_energy,high_rank_capacity,formation_onset,formation_offset,formation_width,k_inflow,axis_weight_4,axis_weight_5,axis_weight_6,outflow_onset,outflow_width,k_outflow,collapse_onset,collapse_width,k_overlap,overlap_decay,k_closure_4,k_closure_5,k_closure_6,closure_relaxation,k_collapse_drain,fraction_particle,fraction_rank_memory,fraction_expansion,fraction_prestructure_return,fraction_dissipation,expansion_decay,expansion_decay_to_particle,lambda_h,expansion_volume_floor,c_info_particle,c_info_rank,comoving_particle_scale,comoving_rank_scale,isolation_exponent,k_isolation_particle,k_isolation_rank,k_reconnection_particle,k_reconnection_rank,particle_connected_decay,particle_isolated_decay,rankmem_connected_decay,rankmem_isolated_decay,relaxation_return_fraction,rank_tolerance,extinction_energy_threshold,stability_window,stability_relative_tolerance
balanced_multistage,0.002,12.0,12.0,4.8,0.45,3.1,0.28,0.62,0.4,0.34,0.26,2.7,0.42,0.085,3.15,0.35,3.5,0.025,1.32,1.46,1.62,0.03,0.86,0.34,0.16,0.24,0.16,0.1,0.23,0.55,0.82,0.75,1.0,0.82,1.55,2.75,4.0,1.1,1.3,0.025,0.012,0.004,0.001,0.003,0.0008,0.35,0.055,0.06,1.0,0.012
strong_expansion_isolation,0.002,12.0,12.0,4.8,0.45,3.1,0.28,0.72,0.4,0.34,0.26,2.7,0.42,0.085,3.15,0.35,3.5,0.025,1.32,1.46,1.62,0.03,0.86,0.3,0.15,0.34,0.12,0.09,0.23,0.55,1.12,0.75,1.0,0.82,1.55,2.75,4.0,1.45,1.7,0.025,0.012,0.004,0.001,0.003,0.0008,0.35,0.055,0.06,1.0,0.012
outflow_dissipation_extinction,0.002,22.0,12.0,4.8,0.45,3.1,0.28,0.4,0.4,0.34,0.26,2.7,0.42,0.34,3.15,0.35,3.5,0.025,1.32,1.46,1.62,0.03,1.55,0.07,0.03,0.08,0.37,0.45,0.75,0.55,0.82,0.75,1.0,0.82,1.55,2.75,4.0,1.1,1.3,0.025,0.012,0.42,0.24,0.48,0.28,0.25,0.055,0.1,1.0,0.012
retained_high_rank_stable,0.002,12.0,12.0,4.8,0.45,3.1,0.28,0.7,0.4,0.34,0.26,2.7,0.42,0.005,3.15,0.35,0.35,0.025,0.03,0.04,0.05,0.03,0.01,0.26,0.24,0.18,0.18,0.14,0.23,0.55,0.42,0.75,1.0,0.82,1.55,2.75,4.0,1.1,1.3,0.025,0.012,0.004,0.001,0.003,0.0008,0.35,0.055,0.06,1.0,0.012
