scenario,terminal_state,final_local_dimension,final_connected_dimension,event_count,event_sequence,total_prestructure_to_highrank_inflow,total_highrank_to_prestructure_outflow,net_highrank_energy_import,total_collapse_release,final_scale_factor,total_e_fold,peak_H,peak_expansion_speed_particle,peak_expansion_speed_rank,accelerated_expansion_duration_tau,final_particle_isolated_fraction,peak_particle_isolated_fraction,final_rank_assigned_isolated_fraction,peak_rank_assigned_isolated_fraction,final_realized_episode_energy,final_prestructure_energy,final_dissipated_energy,max_energy_ledger_error
balanced_multistage,stable,3,3,14,D3_to_D4_local_rank -> D3_to_D4_connected_rank -> D4_to_D5_local_rank -> D4_to_D5_connected_rank -> D5_to_D6_local_rank -> D5_to_D6_connected_rank -> D6_to_D5_connected_rank -> D6_to_D5_local_rank -> D5_to_D4_connected_rank -> D5_to_D4_local_rank -> rank_expansion_speed_exceeds_c_info -> D4_to_D3_connected_rank -> D4_to_D3_local_rank -> rank_expansion_speed_below_c_info,4.723253720434892,0.5349115995620677,4.188342120872824,4.184724059028345,3.8183235827079955,1.3398114736002158,0.2834126491582249,0.6800531134343804,1.206545846415836,5.312,0.3265490973014127,0.335905146029028,0.9574432613340221,0.9590544025098536,2.6948753929800366,8.496611040244607,0.8085135667755426,1.865174681370263e-13
strong_expansion_isolation,relaxing,3,3,16,D3_to_D4_local_rank -> D3_to_D4_connected_rank -> D4_to_D5_local_rank -> D4_to_D5_connected_rank -> D5_to_D6_local_rank -> D5_to_D6_connected_rank -> rank_expansion_speed_exceeds_c_info -> D6_to_D5_connected_rank -> D5_to_D4_connected_rank -> D6_to_D5_local_rank -> D5_to_D4_local_rank -> D4_to_D3_connected_rank -> particle_expansion_speed_exceeds_c_info -> D4_to_D3_local_rank -> particle_expansion_speed_below_c_info -> rank_expansion_speed_below_c_info,4.8348869905995135,0.4302465174759271,4.404640473123586,4.400715641916346,5.22600923488139,1.6536479342000723,0.3885619854680017,1.0440421743062192,1.8523328898981308,5.112,0.7124066570016384,0.7503709368797764,0.9907735197172491,0.9915582567620269,2.913241788260158,8.133760648248948,0.9529975634909453,5.5067062021407764e-14
outflow_dissipation_extinction,extinct_episode,3,3,13,D3_to_D4_local_rank -> D3_to_D4_connected_rank -> D4_to_D5_local_rank -> D4_to_D5_connected_rank -> D5_to_D6_local_rank -> D5_to_D6_connected_rank -> D6_to_D5_connected_rank -> D6_to_D5_local_rank -> D5_to_D4_connected_rank -> D5_to_D4_local_rank -> D4_to_D3_connected_rank -> D4_to_D3_local_rank -> formed_episode_energy_below_extinction_threshold,4.494915395473996,1.613947286271058,2.8809681092029384,2.8809681092025077,1.9079270248676643,0.6460173253699583,0.1652314530111918,0.31276489016244186,0.5549054502882034,4.532,0.09461776069679868,0.09461776069679868,0.8451368370898436,0.8451368370898436,0.00043408096350158927,10.288596469078914,1.710969449957009,5.755396159656812e-13
retained_high_rank_stable,stable,5,5,8,D3_to_D4_local_rank -> D3_to_D4_connected_rank -> D4_to_D5_local_rank -> D4_to_D5_connected_rank -> D5_to_D6_local_rank -> D5_to_D6_connected_rank -> D6_to_D5_local_rank -> D6_to_D5_connected_rank,4.614163499058636,0.20799058647643204,4.406172912582203,0.059827153283888025,1.1236251551034866,0.11656020394989634,0.021951468767823404,0.03822941645291604,0.06782638402936716,12.002,3.477903913204679e-06,3.477903913204679e-06,0.00013611570847645526,0.00013611570847645526,4.384501276650973,7.604717247371385,0.010781475977558283,1.1368683772161603e-13
