scenario,terminal_state,final_local_dimension,final_connected_dimension,net_highrank_energy_import,total_collapse_release,total_e_fold,peak_H,rank_isolation_onset_tau,particle_isolation_onset_tau,extinction_tau,final_particle_isolated_fraction,final_rank_assigned_isolated_fraction,final_realized_episode_energy
balanced_multistage,stable,3,3,4.188342120872824,4.184724059028345,1.3398114736002158,0.2834126491582249,3.904,,,0.3265490973014127,0.957443261334022,2.6948753929800366
strong_expansion_isolation,relaxing,3,3,4.404640473123586,4.400715641916346,1.6536479342000725,0.3885619854680017,3.442,4.574,,0.7124066570016384,0.9907735197172493,2.913241788260158
outflow_dissipation_extinction,extinct_episode,3,3,2.8809681092029384,2.880968109202508,0.6460173253699583,0.1652314530111918,,,8.344,0.0946177606967986,0.8451368370898436,0.0004340809635015
retained_high_rank_stable,stable,5,5,4.406172912582203,0.059827153283888,0.1165602039498963,0.0219514687678234,,,,3.477903913204679e-06,0.0001361157084764,4.384501276650973
