dt,total_e_fold,peak_H,final_particle_isolated_fraction,final_rank_assigned_isolated_fraction,final_local_dimension,final_connected_dimension,max_energy_ledger_error
0.008,1.3404289037646655,0.2838071178699809,0.32669299597417534,0.95753734301197,3,3,6.572520305780927e-14
0.004,1.3400176251894105,0.28354389000413305,0.3265970674004029,0.9574747925872783,3,3,7.460698725481052e-14
0.002,1.3398114736002158,0.2834126491582249,0.3265490973014127,0.9574432613340221,3,3,1.865174681370263e-13
0.001,1.3397082697074356,0.28334712168137793,0.32652511061280104,0.9574274315877462,3,3,2.3447910280083306e-13
