sample_index,gps_time,time_since_start_s,time_centered_s,strain,detector,strain_abs,strain_sign,strain_sq
0,1187006834.0,0.0,-2048.0,-6.299222323981112e-19,L1,6.299222323981112e-19,-1.0,3.9680201886942005e-37
1,1187006834.000244,0.000244140625,-2047.999755859375,-6.2362819861992055e-19,L1,6.2362819861992055e-19,-1.0,3.88912130113927e-37
2,1187006834.0004883,0.00048828125,-2047.99951171875,-6.286300105109301e-19,L1,6.286300105109301e-19,-1.0,3.951756901149721e-37
3,1187006834.0007324,0.000732421875,-2047.999267578125,-6.245285405314715e-19,L1,6.245285405314715e-19,-1.0,3.900358979383697e-37
4,1187006834.0009766,0.0009765625,-2047.9990234375,-6.297281151356796e-19,L1,6.297281151356796e-19,-1.0,3.965574989923358e-37
5,1187006834.0012207,0.001220703125,-2047.998779296875,-6.353254366788436e-19,L1,6.353254366788436e-19,-1.0,4.036384104911631e-37
6,1187006834.0014648,0.00146484375,-2047.99853515625,-6.344955841882898e-19,L1,6.344955841882898e-19,-1.0,4.025846463544392e-37
7,1187006834.001709,0.001708984375,-2047.998291015625,-6.411082784453833e-19,L1,6.411082784453833e-19,-1.0,4.110198246912032e-37
8,1187006834.0019531,0.001953125,-2047.998046875,-6.344150515924164e-19,L1,6.344150515924164e-19,-1.0,4.024824576870084e-37
9,1187006834.0021973,0.002197265625,-2047.997802734375,-6.282718616548693e-19,L1,6.282718616548693e-19,-1.0,3.947255321472751e-37
10,1187006834.0024414,0.00244140625,-2047.99755859375,-6.313671382411429e-19,L1,6.313671382411429e-19,-1.0,3.986244632508104e-37
11,1187006834.0026855,0.002685546875,-2047.997314453125,-6.252788286306653e-19,L1,6.252788286306653e-19,-1.0,3.9097361353373694e-37
12,1187006834.0029297,0.0029296875,-2047.9970703125,-6.303669019299563e-19,L1,6.303669019299563e-19,-1.0,3.973624310487712e-37
13,1187006834.0031738,0.003173828125,-2047.996826171875,-6.390419192985926e-19,L1,6.390419192985926e-19,-1.0,4.083745746208288e-37
14,1187006834.003418,0.00341796875,-2047.99658203125,-6.3718017332168885e-19,L1,6.3718017332168885e-19,-1.0,4.059985732742573e-37
15,1187006834.003662,0.003662109375,-2047.996337890625,-6.425660277054071e-19,L1,6.425660277054071e-19,-1.0,4.128910999611061e-37
16,1187006834.0039062,0.00390625,-2047.99609375,-6.391906494011507e-19,L1,6.391906494011507e-19,-1.0,4.0856468628186456e-37
17,1187006834.0041504,0.004150390625,-2047.995849609375,-6.3244979437403565e-19,L1,6.3244979437403565e-19,-1.0,3.999927424037599e-37
18,1187006834.0043943,0.00439453125,-2047.99560546875,-6.372446427906218e-19,L1,6.372446427906218e-19,-1.0,4.060807347653472e-37
19,1187006834.004639,0.004638671875,-2047.995361328125,-6.322479225133021e-19,L1,6.322479225133021e-19,-1.0,3.997374355223863e-37
20,1187006834.0048828,0.0048828125,-2047.9951171875,-6.34560755884128e-19,L1,6.34560755884128e-19,-1.0,4.026673529082359e-37
21,1187006834.005127,0.005126953125,-2047.994873046875,-6.439671817146615e-19,L1,6.439671817146615e-19,-1.0,4.146937311255239e-37
22,1187006834.005371,0.00537109375,-2047.99462890625,-6.440420811567459e-19,L1,6.440420811567459e-19,-1.0,4.147902023007123e-37
23,1187006834.0056152,0.005615234375,-2047.994384765625,-6.489914847918231e-19,L1,6.489914847918231e-19,-1.0,4.211899473322952e-37
24,1187006834.0058594,0.005859375,-2047.994140625,-6.45737708422691e-19,L1,6.45737708422691e-19,-1.0,4.169771880789883e-37
25,1187006834.0061035,0.006103515625,-2047.993896484375,-6.396875621138448e-19,L1,6.396875621138448e-19,-1.0,4.092001771231541e-37
26,1187006834.0063477,0.00634765625,-2047.99365234375,-6.42499977422968e-19,L1,6.42499977422968e-19,-1.0,4.128062209885144e-37
27,1187006834.0065918,0.006591796875,-2047.993408203125,-6.376464154654561e-19,L1,6.376464154654561e-19,-1.0,4.065929511559449e-37
28,1187006834.006836,0.0068359375,-2047.9931640625,-6.405046478020018e-19,L1,6.405046478020018e-19,-1.0,4.102462038559662e-37
29,1187006834.00708,0.007080078125,-2047.992919921875,-6.509960260644306e-19,L1,6.509960260644306e-19,-1.0,4.2379582595168084e-37
