sample_index,gps_time,time_since_start_s,time_centered_s,strain,detector,strain_abs,strain_sign,strain_sq
0,1187006834.0,0.0,-2048.0,-2.3916458936432882e-18,H1,2.3916458936432882e-18,-1.0,5.719970080580803e-36
1,1187006834.000244,0.000244140625,-2047.999755859375,-2.411659834149055e-18,H1,2.411659834149055e-18,-1.0,5.816103155647848e-36
2,1187006834.0004883,0.00048828125,-2047.99951171875,-2.4273819446385704e-18,H1,2.4273819446385704e-18,-1.0,5.892183105157328e-36
3,1187006834.0007324,0.000732421875,-2047.999267578125,-2.426351294492099e-18,H1,2.426351294492099e-18,-1.0,5.887180604283485e-36
4,1187006834.0009766,0.0009765625,-2047.9990234375,-2.42799642575494e-18,H1,2.42799642575494e-18,-1.0,5.895166643478763e-36
5,1187006834.0012207,0.001220703125,-2047.998779296875,-2.44629101583064e-18,H1,2.44629101583064e-18,-1.0,5.984339734133704e-36
6,1187006834.0014648,0.00146484375,-2047.99853515625,-2.46296168680364e-18,H1,2.46296168680364e-18,-1.0,6.066180270662631e-36
7,1187006834.001709,0.001708984375,-2047.998291015625,-2.463456408337297e-18,H1,2.463456408337297e-18,-1.0,6.068617475778097e-36
8,1187006834.0019531,0.001953125,-2047.998046875,-2.464038845378586e-18,H1,2.464038845378586e-18,-1.0,6.071487431534635e-36
9,1187006834.0021973,0.002197265625,-2047.997802734375,-2.481932804829852e-18,H1,2.481932804829852e-18,-1.0,6.159990447690576e-36
10,1187006834.0024414,0.00244140625,-2047.99755859375,-2.499761591062653e-18,H1,2.499761591062653e-18,-1.0,6.248808012152085e-36
11,1187006834.0026855,0.002685546875,-2047.997314453125,-2.4996530190738922e-18,H1,2.4996530190738922e-18,-1.0,6.248265215765224e-36
12,1187006834.0029297,0.0029296875,-2047.9970703125,-2.4997403747611146e-18,H1,2.4997403747611146e-18,-1.0,6.248701941210837e-36
13,1187006834.0031738,0.003173828125,-2047.996826171875,-2.5148265186308e-18,H1,2.5148265186308e-18,-1.0,6.32435241880871e-36
14,1187006834.003418,0.00341796875,-2047.99658203125,-2.5345036807429186e-18,H1,2.5345036807429186e-18,-1.0,6.423708907699403e-36
15,1187006834.003662,0.003662109375,-2047.996337890625,-2.539016674324598e-18,H1,2.539016674324598e-18,-1.0,6.446605672498342e-36
16,1187006834.0039062,0.00390625,-2047.99609375,-2.534552427832921e-18,H1,2.534552427832921e-18,-1.0,6.423956009433754e-36
17,1187006834.0041504,0.004150390625,-2047.995849609375,-2.5472760043411652e-18,H1,2.5472760043411652e-18,-1.0,6.48861504229229e-36
18,1187006834.0043943,0.00439453125,-2047.99560546875,-2.5679406304038933e-18,H1,2.5679406304038933e-18,-1.0,6.594319081279144e-36
19,1187006834.004639,0.004638671875,-2047.995361328125,-2.5733452168203357e-18,H1,2.5733452168203357e-18,-1.0,6.622105604932099e-36
20,1187006834.0048828,0.0048828125,-2047.9951171875,-2.569081918720775e-18,H1,2.569081918720775e-18,-1.0,6.600181905098018e-36
21,1187006834.005127,0.005126953125,-2047.994873046875,-2.5800384547940283e-18,H1,2.5800384547940283e-18,-1.0,6.656598428215955e-36
22,1187006834.005371,0.00537109375,-2047.99462890625,-2.6011750017914152e-18,H1,2.6011750017914152e-18,-1.0,6.76611138994457e-36
23,1187006834.0056152,0.005615234375,-2047.994384765625,-2.6067805543534864e-18,H1,2.6067805543534864e-18,-1.0,6.79530485855547e-36
24,1187006834.0058594,0.005859375,-2047.994140625,-2.602693064457153e-18,H1,2.602693064457153e-18,-1.0,6.774011187773367e-36
25,1187006834.0061035,0.006103515625,-2047.993896484375,-2.6108708525536492e-18,H1,2.6108708525536492e-18,-1.0,6.816646608714217e-36
26,1187006834.0063477,0.00634765625,-2047.99365234375,-2.633489785940986e-18,H1,2.633489785940986e-18,-1.0,6.935268452655502e-36
27,1187006834.0065918,0.006591796875,-2047.993408203125,-2.6434704004077216e-18,H1,2.6434704004077216e-18,-1.0,6.98793575783176e-36
28,1187006834.006836,0.0068359375,-2047.9931640625,-2.6368356762775695e-18,H1,2.6368356762775695e-18,-1.0,6.952902383690187e-36
29,1187006834.00708,0.007080078125,-2047.992919921875,-2.644073626748078e-18,H1,2.644073626748078e-18,-1.0,6.991125343664735e-36
30,1187006834.0073242,0.00732421875,-2047.99267578125,-2.6642555458539e-18,H1,2.6642555458539e-18,-1.0,7.098257613613261e-36
31,1187006834.0075684,0.007568359375,-2047.992431640625,-2.6720441401844546e-18,H1,2.6720441401844546e-18,-1.0,7.139819887094081e-36
32,1187006834.0078125,0.0078125,-2047.9921875,-2.668296679621756e-18,H1,2.668296679621756e-18,-1.0,7.119807170480489e-36
33,1187006834.0080566,0.008056640625,-2047.991943359375,-2.6746024036797364e-18,H1,2.6746024036797364e-18,-1.0,7.153498017769423e-36
34,1187006834.0083008,0.00830078125,-2047.99169921875,-2.694475409586459e-18,H1,2.694475409586459e-18,-1.0,7.260197732866116e-36
35,1187006834.008545,0.008544921875,-2047.991455078125,-2.7043037371034204e-18,H1,2.7043037371034204e-18,-1.0,7.313258702511525e-36
36,1187006834.008789,0.0087890625,-2047.9912109375,-2.701059854018663e-18,H1,2.701059854018663e-18,-1.0,7.295724334991321e-36
37,1187006834.0090332,0.009033203125,-2047.990966796875,-2.7043271438658612e-18,H1,2.7043271438658612e-18,-1.0,7.313385301049684e-36
38,1187006834.009277,0.00927734375,-2047.99072265625,-2.721023236089829e-18,H1,2.721023236089829e-18,-1.0,7.403967451340765e-36
39,1187006834.0095215,0.009521484375,-2047.990478515625,-2.7364113054307385e-18,H1,2.7364113054307385e-18,-1.0,7.487946832489158e-36
40,1187006834.0097656,0.009765625,-2047.990234375,-2.734467569166377e-18,H1,2.734467569166377e-18,-1.0,7.477312886822676e-36
41,1187006834.0100098,0.010009765625,-2047.989990234375,-2.73465747157048e-18,H1,2.73465747157048e-18,-1.0,7.478351486816251e-36
42,1187006834.010254,0.01025390625,-2047.98974609375,-2.750276925618723e-18,H1,2.750276925618723e-18,-1.0,7.564023167590775e-36
43,1187006834.010498,0.010498046875,-2047.989501953125,-2.764037546998065e-18,H1,2.764037546998065e-18,-1.0,7.639903561215081e-36
44,1187006834.0107422,0.0107421875,-2047.9892578125,-2.7627138198718777e-18,H1,2.7627138198718777e-18,-1.0,7.632587650511062e-36
45,1187006834.0109863,0.010986328125,-2047.989013671875,-2.760656575277161e-18,H1,2.760656575277161e-18,-1.0,7.621224726621025e-36
46,1187006834.0112305,0.01123046875,-2047.98876953125,-2.77554180255718e-18,H1,2.77554180255718e-18,-1.0,7.703632297742359e-36
47,1187006834.0114746,0.011474609375,-2047.988525390625,-2.791775451917656e-18,H1,2.791775451917656e-18,-1.0,7.794010173930032e-36
48,1187006834.0117188,0.01171875,-2047.98828125,-2.79287191081083e-18,H1,2.79287191081083e-18,-1.0,7.800133510196137e-36
49,1187006834.011963,0.011962890625,-2047.988037109375,-2.7896935201069293e-18,H1,2.7896935201069293e-18,-1.0,7.782389936126589e-36
50,1187006834.012207,0.01220703125,-2047.98779296875,-2.8020512583904442e-18,H1,2.8020512583904442e-18,-1.0,7.851491254647472e-36
51,1187006834.0124512,0.012451171875,-2047.987548828125,-2.818514446419306e-18,H1,2.818514446419306e-18,-1.0,7.944023684674327e-36
52,1187006834.0126953,0.0126953125,-2047.9873046875,-2.8196400070436613e-18,H1,2.8196400070436613e-18,-1.0,7.950369769321176e-36
53,1187006834.0129397,0.012939453125,-2047.987060546875,-2.817563108861334e-18,H1,2.817563108861334e-18,-1.0,7.938661872416347e-36
54,1187006834.0131836,0.01318359375,-2047.98681640625,-2.8257023082694665e-18,H1,2.8257023082694665e-18,-1.0,7.984593534959391e-36
55,1187006834.0134275,0.013427734375,-2047.986572265625,-2.8404928928932826e-18,H1,2.8404928928932826e-18,-1.0,8.068399874577249e-36
56,1187006834.013672,0.013671875,-2047.986328125,-2.8449108195688905e-18,H1,2.8449108195688905e-18,-1.0,8.093517571300136e-36
57,1187006834.013916,0.013916015625,-2047.986083984375,-2.8403234716714952e-18,H1,2.8403234716714952e-18,-1.0,8.067437423728015e-36
58,1187006834.0141602,0.01416015625,-2047.98583984375,-2.8492357292725072e-18,H1,2.8492357292725072e-18,-1.0,8.118144240963037e-36
59,1187006834.0144043,0.014404296875,-2047.985595703125,-2.864023865125219e-18,H1,2.864023865125219e-18,-1.0,8.202632700006799e-36
60,1187006834.0146484,0.0146484375,-2047.9853515625,-2.866515921007543e-18,H1,2.866515921007543e-18,-1.0,8.216913525389723e-36
61,1187006834.0148926,0.014892578125,-2047.985107421875,-2.86456051439805e-18,H1,2.86456051439805e-18,-1.0,8.205706940648419e-36
62,1187006834.0151367,0.01513671875,-2047.98486328125,-2.8701134537009097e-18,H1,2.8701134537009097e-18,-1.0,8.237551237114964e-36
63,1187006834.0153809,0.015380859375,-2047.984619140625,-2.8841573700037e-18,H1,2.8841573700037e-18,-1.0,8.318363734946659e-36
64,1187006834.015625,0.015625,-2047.984375,-2.892315325588161e-18,H1,2.892315325588161e-18,-1.0,8.365487942632149e-36
65,1187006834.0158691,0.015869140625,-2047.984130859375,-2.886803006767353e-18,H1,2.886803006767353e-18,-1.0,8.333631599881029e-36
66,1187006834.0161133,0.01611328125,-2047.98388671875,-2.8889903427104545e-18,H1,2.8889903427104545e-18,-1.0,8.34626520027427e-36
67,1187006834.0163574,0.016357421875,-2047.983642578125,-2.9052803435792757e-18,H1,2.9052803435792757e-18,-1.0,8.440653874788112e-36
68,1187006834.0166016,0.0166015625,-2047.9833984375,-2.9105794120353312e-18,H1,2.9105794120353312e-18,-1.0,8.471472513763935e-36
69,1187006834.0168457,0.016845703125,-2047.983154296875,-2.905710189562688e-18,H1,2.905710189562688e-18,-1.0,8.443151705728429e-36
70,1187006834.0170898,0.01708984375,-2047.98291015625,-2.9077894089023567e-18,H1,2.9077894089023567e-18,-1.0,8.455239246524715e-36
71,1187006834.017334,0.017333984375,-2047.982666015625,-2.9184074882641706e-18,H1,2.9184074882641706e-18,-1.0,8.517102267556385e-36
72,1187006834.017578,0.017578125,-2047.982421875,-2.9296299468577767e-18,H1,2.9296299468577767e-18,-1.0,8.582731625525897e-36
