source_id,title,url,category,filename,note,status,local_path,size_bytes,sha256
gw150914_metadata_v4,GW150914 event metadata (GWOSC API v2),https://gwosc.org/api/v2/event-versions/GW150914-v4?format=api,metadata,GW150914_event_metadata_v4.json,Official GWOSC event detail endpoint for GW150914.,downloaded,C:\Users\mincu\Desktop\Topological Reorganization Dynamics validation\data\raw\gravitational waves\GW150914\metadata\GW150914_event_metadata_v4.json,15767,8bdfb6b1c6b380c36f91b900dd27a593de8296441e6ec684ec61fb21aa363355
gw150914_strain_h1_32s_4khz,GW150914 H1 32-second 4 kHz strain file,https://gwosc.org/eventapi/json/GWTC-1-confident/GW150914/v3/H-H1_GWOSC_4KHZ_R1-1126259447-32.hdf5,strain,H-H1_GWOSC_4KHZ_R1-1126259447-32.hdf5,GWOSC event strain file for detector H1.,downloaded,C:\Users\mincu\Desktop\Topological Reorganization Dynamics validation\data\raw\gravitational waves\GW150914\strain\H-H1_GWOSC_4KHZ_R1-1126259447-32.hdf5,1040781,c5ea87beced5094b56b4d694f3a36e6d59f74d3a46e546b980a6a199d1f252a9
gw150914_strain_l1_32s_4khz,GW150914 L1 32-second 4 kHz strain file,https://gwosc.org/eventapi/json/GWTC-1-confident/GW150914/v3/L-L1_GWOSC_4KHZ_R1-1126259447-32.hdf5,strain,L-L1_GWOSC_4KHZ_R1-1126259447-32.hdf5,GWOSC event strain file for detector L1.,downloaded,C:\Users\mincu\Desktop\Topological Reorganization Dynamics validation\data\raw\gravitational waves\GW150914\strain\L-L1_GWOSC_4KHZ_R1-1126259447-32.hdf5,1007262,9d65bde82f7ec035bea4c02228bce4acb3dcaae774c047edce71ef2ad64f1cc4
