name,dt,t_end,initial_prestructure_energy,cross_channel_capacity,initial_particle_energy,inflow_onset,inflow_offset,inflow_width,k_inflow,channel_weight_4,channel_weight_5,channel_weight_6,k_cross_to_d3,cross_energy_return_rate,cross_energy_return_fraction,outflow_onset,outflow_offset,outflow_width,k_outflow_cross,k_outflow_relax,relaxation_decay_connected,relaxation_decay_isolated,relaxation_return_fraction,convergence_memory_gain,convergence_memory_decay,baseline_axial_tension,k_tension_relax_inflow,k_tension_converge_outflow,tension_equalization,tension_restore,lambda_relaxation,lambda_convergence,lambda_anisotropy,lambda_tension_relaxation,lambda_tension_convergence,hubble_relaxation,expansion_volume_floor,c_info_particle,c_info_channel,comoving_particle_scale,comoving_channel_scale_4,comoving_channel_scale_5,comoving_channel_scale_6,isolation_exponent,k_isolation_particle,k_isolation_channel,k_reconnection_particle,k_reconnection_channel,particle_domain_overlap_4,particle_domain_overlap_5,particle_domain_overlap_6,active_channel_energy_threshold,anisotropy_event_threshold,expansion_event_threshold,contraction_event_threshold,extinction_energy_threshold,stability_window,stability_relative_tolerance
balanced_isotropic_exchange,0.002,18.0,12.0,4.8,1.0,0.8,6.0,0.35,0.52,0.3333333333,0.3333333333,0.3333333334,0.72,0.012,0.9,4.2,13.0,0.5,0.1,0.055,0.055,0.018,0.2,0.82,0.34,1.0,0.24,0.31,0.52,0.075,0.92,0.88,0.34,0.42,0.46,0.42,0.85,1.0,0.86,1.55,2.1,2.45,2.8,4.0,1.1,1.35,0.03,0.018,0.0,0.0,0.0,0.03,0.045,0.02,-0.02,0.06,1.5,0.015
anisotropic_single_channel,0.002,18.0,12.0,4.8,1.0,0.8,6.0,0.35,0.52,0.78,0.12,0.10,0.72,0.012,0.9,4.2,13.0,0.5,0.1,0.055,0.055,0.018,0.2,0.82,0.34,1.0,0.24,0.31,0.24,0.06,0.88,0.88,0.42,0.42,0.46,0.42,0.85,1.0,0.86,1.55,2.1,2.45,2.8,4.0,1.1,1.35,0.03,0.018,0.0,0.0,0.0,0.03,0.045,0.02,-0.02,0.06,1.5,0.015
outflow_dominant_convergence,0.002,22.0,12.0,4.8,1.0,0.8,5.0,0.35,0.42,0.3333333333,0.3333333333,0.3333333334,0.68,0.012,0.9,3.6,16.0,0.45,0.34,0.18,0.065,0.022,0.25,1.20,0.22,1.0,0.22,0.52,0.52,0.075,0.82,1.18,0.34,0.40,0.62,0.36,0.85,1.0,0.86,1.55,2.1,2.45,2.8,4.0,1.1,1.35,0.03,0.018,0.0,0.0,0.0,0.03,0.045,0.02,-0.02,0.06,1.5,0.015
rapid_expansion_isolation,0.002,18.0,12.0,5.4,1.0,0.65,6.5,0.32,0.74,0.3333333333,0.3333333333,0.3333333334,0.82,0.01,0.9,4.8,14.0,0.55,0.075,0.04,0.045,0.014,0.15,0.68,0.38,1.0,0.27,0.27,0.58,0.065,1.26,0.72,0.24,0.50,0.36,0.34,0.70,1.0,0.82,1.55,2.2,2.6,3.0,4.0,1.45,1.75,0.025,0.012,0.0,0.0,0.0,0.03,0.045,0.02,-0.02,0.06,1.5,0.015
