scenario,time_tau,from_dimension,to_dimension,event,eig_1,eig_2,eig_3
symmetric_direct_rule_audit,1.216,6,4,D6_to_D4_strict_rank,0.01985574646728951,0.019855746467289544,0.6104561265936708
symmetric_direct_rule_audit,3.124,4,3,D4_to_D3_strict_rank,2.6298822957481144e-05,2.629882295748599e-05,0.01993536292006343
pair_dominant_45,1.094,6,5,D6_to_D5_strict_rank,0.019813071884313378,0.06789537294193891,0.7276583351305117
pair_dominant_45,1.4020000000000001,5,4,D5_to_D4_strict_rank,0.0037190269638741067,0.01995258165182277,0.4347008117046651
pair_dominant_45,3.122,4,3,D4_to_D3_strict_rank,1.9067051952767828e-05,5.427302802539595e-05,0.019983112373222707
single_dominant_6,1.072,6,5,D6_to_D5_strict_rank,0.019770640922720285,0.03913995362931977,0.5585753291858447
single_dominant_6,1.216,5,4,D5_to_D4_strict_rank,0.008366101734983528,0.019886435901701537,0.4326790183151483
single_dominant_6,2.89,4,3,D4_to_D3_strict_rank,4.199533486762025e-07,4.199536750403072e-05,0.01993629456683386
