scenario,base_dimension,terminal_state,event_count,event_sequence,max_active_cross_channels,final_active_cross_channels,final_connected_cross_channels,total_prestructure_inflow,total_prestructure_outflow,net_prestructure_import,total_cross_to_d3_indirect_transfer,total_direct_particle_import,direct_to_indirect_transfer_ratio,cumulative_indirect_particle_response,final_scale_factor,minimum_scale_factor,final_volume_factor,total_e_fold,final_H,peak_H,minimum_H,maximum_particle_speed_ratio,maximum_channel_speed_ratio,first_expansion_time_tau,first_convergence_time_tau,first_channel_isolation_time_tau,first_particle_isolation_time_tau,peak_axial_tension_deviation,final_mean_axial_tension,final_axial_tension_deviation,final_particle_isolated_fraction,peak_particle_isolated_fraction,final_cross_energy_isolated_fraction,peak_cross_energy_isolated_fraction,final_relaxation_energy_isolated_fraction,final_exchange_energy,final_prestructure_energy,final_dissipated_energy,max_energy_ledger_error
balanced_isotropic_exchange,3,expansion_isolated_d3,10,active_cross_channels_0_to_3 -> connected_cross_channels_0_to_3 -> d3_isotropic_relaxation_drives_positive_expansion -> cross_channel_6_separation_speed_exceeds_information_bound -> cross_channel_5_separation_speed_exceeds_information_bound -> cross_channel_4_separation_speed_exceeds_information_bound -> particle_separation_speed_exceeds_information_bound -> connected_cross_channels_3_to_2 -> connected_cross_channels_2_to_1 -> connected_cross_channels_1_to_0,3,3,0,3.9876681116983357,0.021923024810249388,3.965745086888086,2.2952740065647035,0.0,0.0,4.2966291629551705,19.340902563636323,1.0000000000035045,7234.861324058804,2.9622221571697427,0.06003251426991355,0.4624933213380631,1.752303912982292e-09,1.8633926241953578,3.914103036569394,0.748,,1.734,2.386,0.0069077936152122784,0.9464499133701527,7.744013294797525e-06,0.9975297038696257,0.9977270996825536,0.9999174514318211,0.9999280919030196,0.9998418336839834,3.1754824908448156,8.291897162181181,0.5326203469744226,5.364597654988756e-13
anisotropic_single_channel,3,expansion_isolated_d3,16,active_cross_channels_0_to_1 -> connected_cross_channels_0_to_1 -> active_cross_channels_1_to_2 -> connected_cross_channels_1_to_2 -> active_cross_channels_2_to_3 -> connected_cross_channels_2_to_3 -> d3_isotropic_relaxation_drives_positive_expansion -> d3_axial_tension_deviation_exceeds_threshold -> cross_channel_6_separation_speed_exceeds_information_bound -> cross_channel_5_separation_speed_exceeds_information_bound -> cross_channel_4_separation_speed_exceeds_information_bound -> particle_separation_speed_exceeds_information_bound -> connected_cross_channels_3_to_2 -> connected_cross_channels_2_to_1 -> connected_cross_channels_1_to_0 -> d3_axial_tension_deviation_returns_below_threshold,3,3,0,4.623689741237981,0.04444483943671532,4.579244901801266,2.671019617855979,0.0,0.0,4.826378401640085,14.180913735540905,1.000000000003141,2851.757848512472,2.6518969573594378,0.07588110646247433,0.4375546245590144,1.5704767501137094e-09,1.6678983085977033,3.5034623136335847,0.772,,1.798,2.5260000000000002,0.12937436085089343,0.9201342061586644,0.0019284235619868096,0.9957682701608014,0.9957682701608014,0.9998273850314047,0.9998273850314047,0.9997174352287653,3.6739097729586647,7.714495296028617,0.6115949310127576,8.881784197001252e-14
outflow_dominant_convergence,3,converging_d3,16,active_cross_channels_0_to_3 -> connected_cross_channels_0_to_3 -> d3_isotropic_relaxation_drives_positive_expansion -> cross_channel_6_separation_speed_exceeds_information_bound -> cross_channel_5_separation_speed_exceeds_information_bound -> cross_channel_4_separation_speed_exceeds_information_bound -> particle_separation_speed_exceeds_information_bound -> connected_cross_channels_3_to_2 -> connected_cross_channels_2_to_1 -> connected_cross_channels_1_to_0 -> particle_separation_speed_below_information_bound -> cross_channel_4_separation_speed_below_information_bound -> cross_channel_5_separation_speed_below_information_bound -> cross_channel_6_separation_speed_below_information_bound -> d3_expansion_rate_returns_below_threshold -> prestructure_outflow_drives_d3_convergence,3,3,0,3.974880585364746,0.3676026896162214,3.607277895748525,2.495787879221772,0.0,0.0,3.7279258045655,2.9478572268329564,1.0000000000023646,25.616473174272997,1.0810785426363017,-0.03855654264142789,0.4275405369509709,-0.08902385351050328,1.3096545272864542,2.75096224786352,0.836,12.704,1.926,2.702,0.005387308122156473,0.9770223926641913,0.00012580918600639285,0.5982486477942573,0.9221742675125797,0.974019164941663,0.9958523713061888,0.7729051465352876,2.511256870705505,8.769686818012792,0.7190563112820967,4.0323300254385686e-13
rapid_expansion_isolation,3,expansion_isolated_d3,10,active_cross_channels_0_to_3 -> connected_cross_channels_0_to_3 -> d3_isotropic_relaxation_drives_positive_expansion -> cross_channel_6_separation_speed_exceeds_information_bound -> cross_channel_5_separation_speed_exceeds_information_bound -> cross_channel_4_separation_speed_exceeds_information_bound -> particle_separation_speed_exceeds_information_bound -> connected_cross_channels_3_to_2 -> connected_cross_channels_2_to_1 -> connected_cross_channels_1_to_0,3,3,0,3.6444939040324615,0.0014537441633399482,3.6430401598691216,1.9209786229190897,0.0,0.0,6.272481410948612,125.93473296480255,1.0000000000107778,1997269.0715686562,4.835763780404261,0.1340896224712646,0.5563261692113214,5.388896915374176e-09,26.174138238868338,61.780027314402055,0.528,,1.202,1.708,0.007688427905100027,0.9418893260213612,4.2107396990026e-07,0.9999999536307518,0.9999999536307518,0.9999999992337636,0.9999999992337636,0.9999999983942405,3.085769103847485,8.528783164736568,0.3854477314157008,2.948752353404416e-13
