dt,total_e_fold,peak_H,minimum_H,peak_axial_tension_deviation,final_particle_isolated_fraction,final_cross_energy_isolated_fraction,max_energy_ledger_error
0.008,2.958236501761681,0.46227065666999684,1.1210138322734116e-07,0.006952445610498986,0.9974579285871608,0.9999147471644757,2.2026824808563106e-13
0.004,2.9608964053664133,0.46241898712851526,1.4016511733685593e-08,0.006922671028965083,0.9975060460462458,0.9999165610590766,2.433608869978343e-13
0.002,2.9622221571697427,0.4624933213380631,1.752303912982292e-09,0.0069077936152122784,0.9975297038696257,0.9999174514318211,5.364597654988756e-13
0.001,2.9628839785286187,0.4625305586582908,2.1905298635182376e-10,0.006900350817020219,0.9975414338941738,0.9999178925361207,4.192202140984591e-13
