source_id,title,url,category,filename,note
mercury_paper_001,Might the 2PN perihelion precession of Mercury become measurable in the next future?,https://arxiv.org/pdf/2212.07323.pdf,paper,iorio_2022_mercury_2pn_perihelion.pdf,Modern perihelion-precession reference from arXiv PDF
mercury_paper_002,General Relativity Problem of Mercury's Perihelion Advance Revisited,https://arxiv.org/pdf/1008.1811.pdf,paper,vankov_2010_mercury_perihelion_revisited.pdf,Background perihelion discussion paper from arXiv PDF
mercury_data_001,JPL Horizons Mercury orbital elements 2026,https://ssd.jpl.nasa.gov/api/horizons.api?format=text&COMMAND=%27199%27&OBJ_DATA=%27YES%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27ELEMENTS%27&CENTER=%27500%4010%27&START_TIME=%272026-01-01%27&STOP_TIME=%272026-12-31%27&STEP_SIZE=%2730%20d%27&OUT_UNITS=%27AU-D%27&REF_PLANE=%27ECLIPTIC%27&CSV_FORMAT=%27YES%27&ELM_LABELS=%27YES%27,raw_data,jpl_horizons_mercury_elements_2026.txt,Osculating orbital elements for Mercury from the official JPL Horizons API
mercury_data_002,JPL Horizons Mercury state vectors 2026,https://ssd.jpl.nasa.gov/api/horizons.api?format=text&COMMAND=%27199%27&OBJ_DATA=%27YES%27&MAKE_EPHEM=%27YES%27&EPHEM_TYPE=%27VECTORS%27&CENTER=%27500%4010%27&START_TIME=%272026-01-01%27&STOP_TIME=%272026-12-31%27&STEP_SIZE=%275%20d%27&OUT_UNITS=%27AU-D%27&REF_PLANE=%27ECLIPTIC%27&CSV_FORMAT=%27YES%27&VEC_TABLE=%272%27,raw_data,jpl_horizons_mercury_vectors_2026.txt,State-vector style raw output for Mercury from the official JPL Horizons API
