sample_index,gps_time,time_since_start_s,time_centered_s,strain,detector,strain_abs,strain_sign,strain_sq
0,1126259447.0,0.0,-16.0,9.067308911592338e-21,H1,9.067308911592338e-21,1.0,8.221609089824181e-41
1,1126259447.000244,0.000244140625,-15.999755859375,2.011788705634489e-20,H1,2.011788705634489e-20,1.0,4.047293796118493e-40
2,1126259447.0004883,0.00048828125,-15.99951171875,3.7129047219582815e-20,H1,3.7129047219582815e-20,1.0,1.3785661474340104e-39
3,1126259447.0007324,0.000732421875,-15.999267578125,2.0907116586903062e-20,H1,2.0907116586903062e-20,1.0,4.371075239783571e-40
4,1126259447.0009766,0.0009765625,-15.9990234375,1.1598636665134004e-20,H1,1.1598636665134004e-20,1.0,1.3452837248979082e-40
5,1126259447.0012207,0.001220703125,-15.998779296875,2.073876692324053e-20,H1,2.073876692324053e-20,1.0,4.300964534964955e-40
6,1126259447.0014648,0.00146484375,-15.99853515625,3.182223103832726e-20,H1,3.182223103832726e-20,1.0,1.012654388256679e-39
7,1126259447.001709,0.001708984375,-15.998291015625,3.128371215213029e-20,H1,3.128371215213029e-20,1.0,9.786706460173442e-40
8,1126259447.0019531,0.001953125,-15.998046875,1.266442692169855e-20,H1,1.266442692169855e-20,1.0,1.6038770925504303e-40
9,1126259447.0021973,0.002197265625,-15.997802734375,1.7931679955165332e-20,H1,1.7931679955165332e-20,1.0,3.215451460144781e-40
10,1126259447.0024414,0.00244140625,-15.99755859375,3.878158453832939e-20,H1,3.878158453832939e-20,1.0,1.5040112993035888e-39
11,1126259447.0026855,0.002685546875,-15.997314453125,2.808642378864264e-20,H1,2.808642378864264e-20,1.0,7.888472012352312e-40
12,1126259447.0029297,0.0029296875,-15.9970703125,1.3199944528410752e-20,H1,1.3199944528410752e-20,1.0,1.7423853555312091e-40
13,1126259447.0031738,0.003173828125,-15.996826171875,1.9846925932631915e-20,H1,1.9846925932631915e-20,1.0,3.939004689753772e-40
14,1126259447.003418,0.00341796875,-15.99658203125,3.111040803272561e-20,H1,3.111040803272561e-20,1.0,9.678574879626778e-40
15,1126259447.003662,0.003662109375,-15.996337890625,3.2052320253825994e-20,H1,3.2052320253825994e-20,1.0,1.0273512336538239e-39
16,1126259447.0039062,0.00390625,-15.99609375,1.6422685142930242e-20,H1,1.6422685142930242e-20,1.0,2.697045873038217e-40
17,1126259447.0041504,0.004150390625,-15.995849609375,1.4155877167430067e-20,H1,1.4155877167430067e-20,1.0,2.003888583793679e-40
18,1126259447.0043943,0.00439453125,-15.99560546875,3.536966036430429e-20,H1,3.536966036430429e-20,1.0,1.2510128742862378e-39
19,1126259447.004639,0.004638671875,-15.995361328125,3.2161952763745555e-20,H1,3.2161952763745555e-20,1.0,1.0343912055774004e-39
