sample_index,gps_time,time_since_start_s,time_centered_s,strain,detector,strain_abs,strain_sign,strain_sq
0,1126259447.0,0.0,-16.0,-1.0043255454371617e-18,L1,1.0043255454371617e-18,-1.0,1.0086698012176525e-36
1,1126259447.000244,0.000244140625,-15.999755859375,-9.581149963019631e-19,L1,9.581149963019631e-19,-1.0,9.179843461387104e-37
2,1126259447.0004883,0.00048828125,-15.99951171875,-9.030593789314885e-19,L1,9.030593789314885e-19,-1.0,8.155162418761257e-37
3,1126259447.0007324,0.000732421875,-15.999267578125,-8.80012718389866e-19,L1,8.80012718389866e-19,-1.0,7.744223845279216e-37
4,1126259447.0009766,0.0009765625,-15.9990234375,-8.962524965312895e-19,L1,8.962524965312895e-19,-1.0,8.03268537538569e-37
5,1126259447.0012207,0.001220703125,-15.998779296875,-9.384402252183077e-19,L1,9.384402252183077e-19,-1.0,8.80670056307788e-37
6,1126259447.0014648,0.00146484375,-15.99853515625,-9.79395052470606e-19,L1,9.79395052470606e-19,-1.0,9.59214668803901e-37
7,1126259447.001709,0.001708984375,-15.998291015625,-1.0188928103214941e-18,L1,1.0188928103214941e-18,-1.0,1.0381425589248322e-36
8,1126259447.0019531,0.001953125,-15.998046875,-1.0300887984467792e-18,L1,1.0300887984467792e-18,-1.0,1.0610829326855292e-36
9,1126259447.0021973,0.002197265625,-15.997802734375,-9.83397502770689e-19,L1,9.83397502770689e-19,-1.0,9.670706484556272e-37
10,1126259447.0024414,0.00244140625,-15.99755859375,-9.287641273764993e-19,L1,9.287641273764993e-19,-1.0,8.626028043014303e-37
11,1126259447.0026855,0.002685546875,-15.997314453125,-9.056144124840257e-19,L1,9.056144124840257e-19,-1.0,8.20137464098787e-37
12,1126259447.0029297,0.0029296875,-15.9970703125,-9.22538887925752e-19,L1,9.22538887925752e-19,-1.0,8.510779997352834e-37
13,1126259447.0031738,0.003173828125,-15.996826171875,-9.697607889263673e-19,L1,9.697607889263673e-19,-1.0,9.404359877390903e-37
14,1126259447.003418,0.00341796875,-15.99658203125,-1.0113153440344665e-18,L1,1.0113153440344665e-18,-1.0,1.0227587250795514e-36
15,1126259447.003662,0.003662109375,-15.996337890625,-1.0478821518256857e-18,L1,1.0478821518256857e-18,-1.0,1.0980570041148291e-36
16,1126259447.0039062,0.00390625,-15.99609375,-1.0578266701071156e-18,L1,1.0578266701071156e-18,-1.0,1.1189972639899084e-36
17,1126259447.0041504,0.004150390625,-15.995849609375,-1.0096789725042953e-18,L1,1.0096789725042953e-18,-1.0,1.0194516275173294e-36
18,1126259447.0043943,0.00439453125,-15.99560546875,-9.535790630119426e-19,L1,9.535790630119426e-19,-1.0,9.093130294147344e-37
19,1126259447.004639,0.004638671875,-15.995361328125,-9.329494332093876e-19,L1,9.329494332093876e-19,-1.0,8.703946449257176e-37
