field,value
standard_dir,C:\Users\mincu\Desktop\Topological Reorganization Dynamics validation\results\gravitational_wave\GW170817\output\standard
topological_dir,C:\Users\mincu\Desktop\Topological Reorganization Dynamics validation\results\gravitational_wave\GW170817\output\topological
integration_window_start_s,-291.4892578125
integration_window_end_s,290.00732421875
smooth_window_s,10.0
reorg_smooth_window_s,5.0
event_selection_mad,0.331690599706532
event_selection_mse,0.1589029941851381
event_selection_corr,-0.16630395541335088
