name,dt,t_end,k_rho_45,k_rho_46,k_rho_56,gamma_rho,k_eta_4,k_eta_5,k_eta_6,eps_pair,eps_volume,eps_single,c3_min,f_internal,f_prestructure,f_dissipation,q4,q5,q6,rank_tolerance
symmetric_direct,0.002,8.0,3.502286898312362,3.502286898312362,3.502286898312362,0.01,2.217,2.217,2.217,0.02,0.035,0.02,0.98,0.55,0.30,0.15,1.0,1.0,1.0,0.02
pair_dominant_45,0.002,8.0,4.5,2.7,2.7,0.01,2.217,2.217,2.217,0.02,0.035,0.02,0.98,0.55,0.30,0.15,1.0,1.0,1.0,0.02
single_dominant_6,0.002,8.0,3.5,2.4,2.4,0.01,2.217,2.217,5.2,0.02,0.035,0.02,0.98,0.55,0.30,0.15,1.0,1.0,1.0,0.02
no_overlap_control,0.002,8.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.035,0.02,0.98,0.55,0.30,0.15,1.0,1.0,1.0,0.02
