source_id,title,url,category,filename,note,status,local_path,size_bytes,sha256
gw170817_metadata_v1,GW170817 event metadata (GWOSC API v2),https://gwosc.org/api/v2/event-versions/GW170817-v1?format=json,metadata,GW170817_event_metadata_v1.json,Official GWOSC event detail endpoint for GW170817.,downloaded,C:\Users\mincu\Desktop\Topological Reorganization Dynamics validation\data\raw\gravitational waves\GW170817\metadata\GW170817_event_metadata_v1.json,614,e84ec1f615e6d5f8b4d49a7358e3dc3699e5f41824d66d68b6dbf5269e7891f3
grb170817a_gcn_note,GRB 170817A timing note (NASA GCN),https://gcn.gsfc.nasa.gov/other/170817.gcn3,metadata,GRB170817A_GCN_170817.gcn3.txt,NASA GCN text note containing Fermi GBM trigger timing for GRB 170817A.,downloaded,C:\Users\mincu\Desktop\Topological Reorganization Dynamics validation\data\raw\gravitational waves\GW170817\metadata\GRB170817A_GCN_170817.gcn3.txt,15274,158091e19976595b48e12b6860a08c174b3fc68195b8a5a23b714cd92b41c4fa
gw170817_strain_listing_items_json,GW170817 strain listing items JSON,C:\Users\mincu\Desktop\Topological Reorganization Dynamics validation\data\raw\gravitational waves\GW170817\metadata\debug\GW170817_strain_listing_items_005.json,metadata,GW170817_strain_listing_items_005.json,Saved full strain listing JSON used for selection.,generated,C:\Users\mincu\Desktop\Topological Reorganization Dynamics validation\data\raw\gravitational waves\GW170817\metadata\debug\GW170817_strain_listing_items_005.json,4815,571b441973cb099f71e943348d476c52cb436fe57eb42e2802e0ea2d08544366
gw170817_strain_listing_items_csv,GW170817 strain listing items CSV,C:\Users\mincu\Desktop\Topological Reorganization Dynamics validation\data\raw\gravitational waves\GW170817\metadata\debug\GW170817_strain_listing_items_005.csv,metadata,GW170817_strain_listing_items_005.csv,Saved flattened strain listing CSV used for selection.,generated,C:\Users\mincu\Desktop\Topological Reorganization Dynamics validation\data\raw\gravitational waves\GW170817\metadata\debug\GW170817_strain_listing_items_005.csv,2401,b15774399a9184d0b85a1556a7662b412c409e7d78da45deb12e1967aeb93428
gw170817_strain_h1,GW170817 H1 4096-second 4 kHz HDF strain file,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/H-H1_LOSC_C00_4_V1-1187006834-4096.hdf5,strain,H-H1_LOSC_C00_4_V1-1187006834-4096.hdf5,Selected from confirmed GWOSC listing.,downloaded,C:\Users\mincu\Desktop\Topological Reorganization Dynamics validation\data\raw\gravitational waves\GW170817\strain\H-H1_LOSC_C00_4_V1-1187006834-4096.hdf5,125217658,9e3f8a3adb966f6d70eeade0bc44bea2344f85b2af5233a3cba34a723984c9e2
gw170817_strain_l1,GW170817 L1 4096-second 4 kHz HDF strain file,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/L-L1_LOSC_C00_4_V1-1187006834-4096.hdf5,strain,L-L1_LOSC_C00_4_V1-1187006834-4096.hdf5,Selected from confirmed GWOSC listing.,downloaded,C:\Users\mincu\Desktop\Topological Reorganization Dynamics validation\data\raw\gravitational waves\GW170817\strain\L-L1_LOSC_C00_4_V1-1187006834-4096.hdf5,124266501,48eedcf12e5c6d5fea68c8c66facae657b72ad65c5d405d543dd87fcdaef5e0b
gw170817_strain_v1,GW170817 V1 4096-second 4 kHz HDF strain file,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/V-V1_LOSC_C00_4_V1-1187006834-4096.hdf5,strain,V-V1_LOSC_C00_4_V1-1187006834-4096.hdf5,Selected from confirmed GWOSC listing.,downloaded,C:\Users\mincu\Desktop\Topological Reorganization Dynamics validation\data\raw\gravitational waves\GW170817\strain\V-V1_LOSC_C00_4_V1-1187006834-4096.hdf5,129470892,ed723e67105551a051b2758484b5b80a127f6b57f28174b460b17d3ee601b4cf
